id,sentiment_negative,sentiment_neutral,sentiment_positive,topic_id,topic_probability,predicted_behavior,source,score,engagement,keyword_count
711,0.006404651328921318,0.007556133437901735,0.9860391616821289,0,1.0,purchase_intent,youtube,1,0,1
712,0.0018779964884743094,0.020659921690821648,0.977462112903595,0,0.919924951363375,purchase_intent,youtube,495,10,3
713,0.004649249836802483,0.013954728841781616,0.9813960194587708,0,0.8058155163930876,purchase_intent,youtube,77,4,3
715,0.05343831330537796,0.43020138144493103,0.516360342502594,0,0.8469049392733928,passive_browsing,youtube,1,1,1
722,0.014341137371957302,0.03937798738479614,0.9462808966636658,0,0.938300627388662,purchase_intent,youtube,7,1,1
723,0.005573237780481577,0.014044622890651226,0.9803820848464966,0,0.6355948044683408,purchase_intent,youtube,0,0,1
969,0.004480832256376743,0.02380535937845707,0.9717137813568115,-1,0.0,purchase_intent,youtube,0,0,1
981,0.01002589426934719,0.14105257391929626,0.848921537399292,-1,0.0,purchase_intent,youtube,0,0,1
982,0.005099258851259947,0.09156939387321472,0.9033313989639282,-1,0.0,purchase_intent,youtube,0,0,1
984,0.003443080233410001,0.013204485177993774,0.9833524227142334,0,0.7596430400046039,purchase_intent,youtube,0,1,1
990,0.8198577165603638,0.15030668675899506,0.02983551099896431,1,0.5171232594102169,churn_risk,youtube,1,0,1
991,0.004187049809843302,0.061703238636255264,0.9341097474098206,-1,0.0,purchase_intent,youtube,0,0,2
993,0.005908881314098835,0.1215309202671051,0.8725602030754089,11,0.9650631325081035,purchase_intent,youtube,0,0,2
1283,0.004759426228702068,0.07943852990865707,0.9158021211624146,-1,0.0,purchase_intent,youtube,113,0,1
1288,0.003696456551551819,0.018827524036169052,0.9774760007858276,-1,0.0,purchase_intent,youtube,10,0,1
1291,0.08592484891414642,0.4148723781108856,0.49920281767845154,13,0.2276003373035667,passive_browsing,youtube,1,0,1
1297,0.0037165789399296045,0.025476714596152306,0.9708067178726196,13,0.8254508401442288,purchase_intent,youtube,0,0,1
1301,0.006983011495321989,0.02293449640274048,0.9700825214385986,-1,0.0,purchase_intent,youtube,0,0,1
1302,0.0032484629191458225,0.05216394364833832,0.9445875287055969,-1,0.0,purchase_intent,youtube,0,0,1
1314,0.02862643636763096,0.9071882963180542,0.06418522447347641,-1,0.0,passive_browsing,youtube,1,2,1
1315,0.5758754014968872,0.37743502855300903,0.04668949171900749,-1,0.0,passive_browsing,youtube,0,0,1
1317,0.038581155240535736,0.7455148696899414,0.21590392291545868,-1,0.0,passive_browsing,youtube,1,0,2
1327,0.03207258880138397,0.754519522190094,0.21340784430503845,0,1.0,passive_browsing,youtube,0,0,2
1337,0.006843429058790207,0.07276415824890137,0.9203923940658569,0,0.9200306358265109,purchase_intent,youtube,81,5,1
1340,0.014529615640640259,0.7246055603027344,0.26086482405662537,-1,0.0,passive_browsing,youtube,19,0,2
1342,0.02033301629126072,0.5367627143859863,0.4429042935371399,-1,0.0,passive_browsing,youtube,8,0,3
1343,0.6410026550292969,0.32472196221351624,0.03427545353770256,-1,0.0,passive_browsing,youtube,16,0,1
1344,0.024577539414167404,0.44721519947052,0.5282072424888611,2,0.8832082532030747,passive_browsing,youtube,10,1,1
1346,0.0030226456001400948,0.013366236351430416,0.9836110472679138,-1,0.0,purchase_intent,youtube,1,0,1
1347,0.00222813175059855,0.008409101516008377,0.9893627762794495,-1,0.0,purchase_intent,youtube,1,0,1
1352,0.34579285979270935,0.5028378367424011,0.15136933326721191,13,0.14382724361789126,passive_browsing,youtube,1,0,1
1355,0.004506257828325033,0.0341266468167305,0.961367130279541,1,0.5623444729125243,purchase_intent,youtube,0,0,1
1356,0.16786792874336243,0.16814282536506653,0.663989245891571,-1,0.0,passive_browsing,youtube,2,0,2
1358,0.004155454691499472,0.05043403431773186,0.9454105496406555,13,0.27897921538994963,purchase_intent,youtube,1,0,1
1360,0.011239173822104931,0.11249005049467087,0.8762708306312561,-1,0.0,purchase_intent,youtube,75,4,2
1363,0.7051470875740051,0.2568550407886505,0.03799792751669884,13,1.0,churn_risk,youtube,0,0,1
1365,0.003209501737728715,0.020958684384822845,0.9758317470550537,-1,0.0,purchase_intent,youtube,0,0,2
1366,0.004713964648544788,0.03779006376862526,0.9574959874153137,-1,0.0,purchase_intent,youtube,0,0,1
1369,0.0050592427141964436,0.012103158049285412,0.9828375577926636,42,1.0,purchase_intent,youtube,0,0,1
1370,0.004828595090657473,0.018247125670313835,0.9769242405891418,-1,0.0,purchase_intent,youtube,5,1,2
1373,0.013373847119510174,0.04415375739336014,0.9424724578857422,13,0.41428361512916995,purchase_intent,youtube,0,0,1
1377,0.009057383053004742,0.7975257039070129,0.19341698288917542,0,1.0,passive_browsing,youtube,2,0,1
1379,0.10631852596998215,0.8232158422470093,0.07046563923358917,-1,0.0,passive_browsing,youtube,0,0,4
1381,0.3257698118686676,0.6217764019966125,0.05245380476117134,-1,0.0,passive_browsing,youtube,1,0,1
1383,0.003348808502778411,0.05428735911846161,0.9423637986183167,-1,0.0,purchase_intent,youtube,1,1,1
1387,0.009723013266921043,0.03984298184514046,0.9504340887069702,13,0.7751981247714158,purchase_intent,youtube,0,0,1
1389,0.09080527722835541,0.3476950228214264,0.5614997744560242,0,0.35401852303900544,passive_browsing,youtube,0,0,1
1398,0.012808465398848057,0.45075535774230957,0.5364362001419067,-1,0.0,passive_browsing,youtube,0,0,2
1402,0.0030490863136947155,0.01818082295358181,0.9787701368331909,-1,0.0,purchase_intent,youtube,0,0,2
1405,0.09394702315330505,0.5238727927207947,0.38218024373054504,13,0.6050107025114542,passive_browsing,youtube,0,0,1
1410,0.008088566362857819,0.10713249444961548,0.8847788572311401,-1,0.0,purchase_intent,youtube,0,0,3
1413,0.028969282284379005,0.26853278279304504,0.7024979591369629,-1,0.0,purchase_intent,youtube,0,0,1
1431,0.15900224447250366,0.5742049813270569,0.26679277420043945,-1,0.0,passive_browsing,youtube,0,0,1
1433,0.6073358654975891,0.329603910446167,0.06306019425392151,13,0.5191260726400395,passive_browsing,youtube,0,0,1
1434,0.010385087691247463,0.31416964530944824,0.6754452586174011,-1,0.0,passive_browsing,youtube,0,1,2
1436,0.04129289463162422,0.47275400161743164,0.48595309257507324,-1,0.0,passive_browsing,youtube,15,1,1
1441,0.18432006239891052,0.46535295248031616,0.3503269851207733,13,0.061621430485197866,passive_browsing,youtube,0,0,1
1444,0.5600030422210693,0.3484201431274414,0.09157679229974747,13,0.2921029870532532,passive_browsing,youtube,0,0,1
1454,0.010799290612339973,0.06960376352071762,0.9195970296859741,38,1.0,purchase_intent,youtube,1,0,1
1458,0.4237091839313507,0.43389448523521423,0.14239634573459625,13,1.0,passive_browsing,youtube,0,0,1
1460,0.003386370837688446,0.012002268806099892,0.9846113324165344,-1,0.0,purchase_intent,youtube,1,2,1
1461,0.6698630452156067,0.3045308589935303,0.025606075301766396,13,1.0,passive_browsing,youtube,0,0,1
1463,0.008172018453478813,0.1556224673986435,0.8362055420875549,-1,0.0,purchase_intent,youtube,1,0,1
1464,0.035137832164764404,0.7720653414726257,0.19279685616493225,-1,0.0,passive_browsing,youtube,1,1,2
1466,0.005292988382279873,0.04113183915615082,0.9535751342773438,1,0.686341313997462,purchase_intent,youtube,1,0,1
1470,0.5960519909858704,0.3750324845314026,0.028915544971823692,-1,0.0,passive_browsing,youtube,1,1,1
1591,0.0019382179016247392,0.01478035282343626,0.9832814335823059,0,0.7201207456918646,purchase_intent,youtube,1,1,2
1594,0.00868133082985878,0.05488768592476845,0.9364309906959534,0,1.0,purchase_intent,youtube,1,0,1
