id,post_cid,post_uri,text,author_handle,like_count,repost_count,reply_count,created_at,query_used,collected_at,source
157,bafyreigfqnedbh3ssjnvfa7wz3rodhkke75snnid5t76na4n6dkssxgeu4,at://did:plc:udyn2dmw2qgvjelxvh7zmti2/app.bsky.feed.post/3macyek62vd2g,"How To Buy Smartwatch Online, Review, Hands-On

https://www.europesays.com/ie/240482/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",ie-news.bsky.social,0,0,0,2025-12-19 13:45:15.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
158,bafyreif2ezpdag2qjkconfvfxv26ebd27zkgdqartjnqio5sdhsjn5pkmq,at://did:plc:qqj5hkpzmaaymmwr34jhz32t/app.bsky.feed.post/3m7swq6bk3k2h,Info from their website:,happyphantom.bsky.social,1,0,1,2025-12-13 04:33:23.707000,product review purchase,2026-06-02 18:36:12.531064,bluesky
159,bafyreiermpr3g27gqviiiymuppt42titnvkdv72m67npj6gkntur7yjune,at://did:plc:v4jfgpnpcxd2be2hekn5iocf/app.bsky.feed.post/3m7jf5ahoqk24,"Department of the interior comptroller memo orders all National Parks Service gift shop items scoured for “illegal DEI” and “gender ideology” related content, which is to be removed by next Friday.

www.nationalparkstraveler.org/sites/defaul...",jessdkant.bsky.social,50,21,6,2025-12-09 09:24:37.212000,product review purchase,2026-06-02 18:36:12.531064,bluesky
160,bafyreicwtj2y4gcyv3kekxlxrgomsvkt25ilw5abab6nq5qofdl342epdi,at://did:plc:bopvdxz7styrhrdp4cdpzcrc/app.bsky.feed.post/3m5rsc5gm2224,"between this and the review demands 5 mn after you buy a product online or company rating for a great purchase, the corporations have us just going thru the lab rats motions.",speedo-man.bsky.social,0,0,0,2025-11-17 06:50:55.104000,product review purchase,2026-06-02 18:36:12.531064,bluesky
161,bafyreih7jmslyb5l2ycvuxazggnbebzgntdesjsfv6rr3nfvcemuqeprr4,at://did:plc:2peokmtjhl25zflu4o2tde72/app.bsky.feed.post/3m5ooa6gtoc2s,"Review: Is the viral TruSkin vitamin C serum worth the hype?

https://www.vitaminrush.com/266237/review-is-the-viral-truskin-vitamin-c-serum-worth-the-hype/

If you purchase a product through a link on our site, we may receive compensation. As soon as the colder months roll in, my skin goes from …",vitaminrush.bsky.social,0,0,0,2025-11-16 01:00:12.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
162,bafyreigtebd7p67mdajsfdgh7srijxskkgax7crxv7xccxfznqdltvsdu4,at://did:plc:4jegfjhlgz44trcquyckfomr/app.bsky.feed.post/3m5on4zrv2s2e,"Reviews obviously written by ""AI.""

They ""fixed"" it by making the names different.",theactualbrian.bsky.social,1,0,0,2025-11-16 00:40:35.582000,product review purchase,2026-06-02 18:36:12.531064,bluesky
163,bafyreiddrzkzs3obgr7nj7azwb2olwtoxls3bsvhjtf3dxlkilvuba3l5e,at://did:plc:keyuu5fxmfvqqbjh5sdem22l/app.bsky.feed.post/3m5nbytec4o27,"But I have no way of knowing if this product -- or any of its clones -- is a quality product, because there's zero information content available from either the purchase and review patterns. We're left with good old word of mouth.",mobypinball.bsky.social,0,0,1,2025-11-15 11:48:40.898000,product review purchase,2026-06-02 18:36:12.531064,bluesky
164,bafyreih5ieeosfbkcocwe4puffb7ivkmlvujacbje3blngzo7precq3z3a,at://did:plc:b24hgmhojpnzhsy64brmqdiz/app.bsky.feed.post/3m5jganbz2c2e,"The Iris Murdoch Review has gone to print! Members can read it online from today if they just can't wait for the hard copy. Non-members can purchase one for £15, or simply join the Society.

irismurdochsociety.org.uk/product/iris...",irismurdoch.bsky.social,2,1,0,2025-11-13 22:54:01.813000,product review purchase,2026-06-02 18:36:12.531064,bluesky
165,bafyreicpbzdlxhno3x3x3nedg2gsp352sr5wfkfvah7xc6ndj6lr3qcpdy,at://did:plc:ui7nv47it5hwvbqfhfyv4sty/app.bsky.feed.post/3m5hk6nbiqk2c,"As someone who does a lot of review reading before making almost *every* big purchase, it’s absolutely infuriating to see “reviews” from people who have clearly never used a product. It’s a waste of my time and it takes away from any trust I may have had for a site",sydneytalkstoys.bsky.social,4,1,1,2025-11-13 04:59:10.178000,product review purchase,2026-06-02 18:36:12.531064,bluesky
166,bafyreiextwz4fsigu5v5jcme3xcndaogdx3fd6kckztezgpill7eit2nru,at://did:plc:eqacycr76doflvw5xdl2d2zm/app.bsky.feed.post/3m5dg6zfuas2u,So the first review I look at it... is kinda suspect? I'd say it feels like AI wrote this but it was posted in 2016. Part of it is English isn't this person's first language but I also think Thiel attracts a certain audience. The only 1-star review they left was for a book debunking race science...,jgraydingler.bsky.social,1,0,1,2025-11-11 13:37:08.958000,product review purchase,2026-06-02 18:36:12.531064,bluesky
